"division","variant","count","total","collection_date","collection_date_num","prop","location","DATE_NUM"
"Assam","Alpha",0,1,2020-06-15,18428,0,"Assam",18428
"Assam","Alpha",0,1,2020-06-29,18442,0,"Assam",18442
"Assam","Alpha",0,28,2020-07-06,18449,0,"Assam",18449
"Assam","Alpha",0,7,2020-07-13,18456,0,"Assam",18456
"Assam","Alpha",0,4,2020-07-20,18463,0,"Assam",18463
"Assam","Alpha",0,5,2020-07-27,18470,0,"Assam",18470
"Assam","Alpha",0,29,2020-08-03,18477,0,"Assam",18477
"Assam","Alpha",0,6,2020-08-10,18484,0,"Assam",18484
"Assam","Alpha",0,7,2020-08-17,18491,0,"Assam",18491
"Assam","Alpha",0,82,2020-08-24,18498,0,"Assam",18498
"Assam","Alpha",0,14,2020-08-31,18505,0,"Assam",18505
"Assam","Alpha",0,16,2020-09-07,18512,0,"Assam",18512
"Assam","Alpha",0,4,2020-09-14,18519,0,"Assam",18519
"Assam","Alpha",0,4,2020-09-21,18526,0,"Assam",18526
"Assam","Alpha",0,7,2020-09-28,18533,0,"Assam",18533
"Assam","Alpha",0,1,2020-10-05,18540,0,"Assam",18540
"Assam","Alpha",0,2,2020-10-12,18547,0,"Assam",18547
"Assam","Alpha",0,2,2020-11-02,18568,0,"Assam",18568
"Assam","Alpha",0,1,2020-11-09,18575,0,"Assam",18575
"Assam","Alpha",0,4,2020-11-16,18582,0,"Assam",18582
"Assam","Alpha",0,1,2020-11-23,18589,0,"Assam",18589
"Assam","Alpha",0,1,2020-11-30,18596,0,"Assam",18596
"Assam","Alpha",0,1,2021-01-04,18631,0,"Assam",18631
"Assam","Alpha",0,1,2021-01-11,18638,0,"Assam",18638
"Assam","Alpha",0,3,2021-02-01,18659,0,"Assam",18659
"Assam","Alpha",0,9,2021-03-01,18687,0,"Assam",18687
"Assam","Alpha",1,1,2021-03-29,18715,1,"Assam",18715
"Assam","Alpha",0,9,2021-04-05,18722,0,"Assam",18722
"Assam","Alpha",0,19,2021-04-12,18729,0,"Assam",18729
"Assam","Alpha",0,29,2021-04-19,18736,0,"Assam",18736
"Assam","Alpha",2,44,2021-04-26,18743,0.0454545454545455,"Assam",18743
"Assam","Alpha",0,8,2021-05-03,18750,0,"Assam",18750
"Assam","Alpha",0,26,2021-05-10,18757,0,"Assam",18757
"Assam","Alpha",0,51,2021-05-17,18764,0,"Assam",18764
"Assam","Alpha",0,37,2021-05-24,18771,0,"Assam",18771
"Assam","Alpha",0,53,2021-05-31,18778,0,"Assam",18778
"Assam","Alpha",0,49,2021-06-07,18785,0,"Assam",18785
"Assam","Alpha",0,35,2021-06-14,18792,0,"Assam",18792
"Assam","Alpha",0,90,2021-06-21,18799,0,"Assam",18799
"Assam","Alpha",0,82,2021-06-28,18806,0,"Assam",18806
"Assam","Alpha",0,86,2021-07-05,18813,0,"Assam",18813
"Assam","Alpha",0,78,2021-07-12,18820,0,"Assam",18820
"Assam","Alpha",0,68,2021-07-19,18827,0,"Assam",18827
"Assam","Alpha",0,83,2021-07-26,18834,0,"Assam",18834
"Assam","Alpha",0,70,2021-08-02,18841,0,"Assam",18841
"Assam","Alpha",0,53,2021-08-09,18848,0,"Assam",18848
"Assam","Alpha",0,75,2021-08-16,18855,0,"Assam",18855
"Assam","Alpha",0,64,2021-08-23,18862,0,"Assam",18862
"Assam","Alpha",0,73,2021-08-30,18869,0,"Assam",18869
"Assam","Alpha",0,37,2021-09-06,18876,0,"Assam",18876
"Assam","Alpha",0,34,2021-09-13,18883,0,"Assam",18883
"Assam","Alpha",0,20,2021-09-20,18890,0,"Assam",18890
"Assam","Alpha",0,24,2021-09-27,18897,0,"Assam",18897
