sampling_week,year,week,collection_date,baselinesurv_total_sequenced,baselinesurv_n_501Y.V1,baselinesurv_n_501Y.V2,baselinesurv_n_501Y.V3,activesurv_total_sequenced,activesurv_n_501Y.V1,activesurv_n_501Y.V2,activesurv_n_501Y.V3
30/11-6/12 (w 49),2020,49,2020-12-03,33,0,0,0,74,3,0,0
7/12-13/12 (w 50),2020,50,2020-12-10,1,0,0,0,109,0,0,0
14/12–20/12 (w 51),2020,51,2020-12-17,92,0,0,0,126,1,1,0
21/12-27/12 (w 52),2020,52,2020-12-24,22,3,0,0,48,11,1,0
28/12–3/01 (w 53),2020,53,2020-12-31,80,0,0,0,68,26,7,0
4/01–10/01 (w 1),2021,1,2021-01-07,177,13,0,0,141,38,8,0
11/01–17/01 (w 2),2021,2,2021-01-14,117,10,1,0,506,244,38,0
18/01-24/01 (w 3),2021,3,2021-01-21,477,64,11,0,532,368,13,0
25/01 – 31/01 (w 4),2021,4,2021-01-28,576,156,26,2,371,246,9,0
01/02 – 07/02 (w 5),2021,5,2021-02-04,952,389,40,8,174,53,25,0
08/02 – 14/02 (w 6),2021,6,2021-02-11,831,347,71,15,280,97,46,9
15/02 – 21/02 (w 7),2021,7,2021-02-18,1068,539,64,26,425,126,65,20
22/02 – 28/02 (w 8),2021,8,2021-02-25,1245,705,95,25,200,93,53,15
01/03-07/03 (w 9),2021,9,2021-03-04,1025,653,91,29,238,126,76,6
08/03-14/03 (w 10),2021,10,2021-03-11,1342,1007,80,35,189,97,48,15
15/03-21/03 (w 11),2021,11,2021-03-18,1352,1078,71,63,219,120,44,29
22/03-28/03 (w 12),2021,12,2021-03-25,1558,1314,53,52,130,75,15,25
29/03-04/04 (w 13),2021,13,2021-04-01,1418,1200,40,70,105,51,7,26
05/04-11/04 (w 14),2021,14,2021-04-08,1034,867,26,77,139,28,15,91
12/04-18/04 (w 15),2021,15,2021-04-15,588,483,16,43,31,25,3,0
19/04-25/04 (w 16),2021,16,2021-04-22,149,117,5,16,5,5,0,0
