date,lab,n_B117,total
2020-11-02,Geneva,0,3
2020-11-03,Geneva,0,3
2020-11-04,Geneva,0,3
2020-11-06,Geneva,0,2
2020-11-09,Geneva,0,1
2020-11-16,Geneva,0,1
2020-11-17,Geneva,0,4
2020-11-23,Geneva,0,2
2020-11-30,Geneva,0,1
2020-12-10,Geneva,0,1
2020-12-15,Geneva,0,1
2020-12-18,Geneva,0,1
2020-12-22,Geneva,1,1
2020-12-26,Geneva,0,1
2020-12-27,Geneva,0,2
2020-12-31,Geneva,0,1
2021-01-13,Geneva,6,33
2021-01-14,Geneva,4,41
2021-01-15,Geneva,12,62
2021-01-16,Geneva,10,42
2021-01-17,Geneva,7,33
2021-01-18,Geneva,14,56
2021-01-19,Geneva,10,46
2021-01-20,Geneva,8,42
2021-01-21,Geneva,6,36
2021-01-22,Geneva,11,38
2021-01-23,Geneva,9,35
2021-01-24,Geneva,16,49
2021-01-25,Geneva,15,56
2021-01-26,Geneva,14,34
2021-01-27,Geneva,22,46
2021-01-28,Geneva,22,46
2021-01-29,Geneva,20,40
2021-01-30,Geneva,29,54
2021-01-31,Geneva,25,43
2021-02-01,Geneva,23,46
2021-02-02,Geneva,24,39
2021-02-03,Geneva,24,28
2021-02-04,Geneva,26,49
2021-02-05,Geneva,23,42
2021-02-06,Geneva,31,43
2021-02-07,Geneva,17,27
2021-02-08,Geneva,26,38
2021-02-09,Geneva,24,33
2021-02-10,Geneva,24,30
2021-02-11,Geneva,32,40
2021-02-12,Geneva,21,25
2021-02-13,Geneva,39,49
2021-02-14,Geneva,22,34
2021-02-15,Geneva,23,31
2021-02-16,Geneva,13,22
2020-12-17,Zürich,0,1
2020-12-21,Zürich,0,1
2020-12-24,Zürich,0,1
2021-01-06,Zürich,0,7
2021-01-07,Zürich,1,28
2021-01-08,Zürich,1,57
2021-01-09,Zürich,0,25
2021-01-10,Zürich,2,41
2021-01-11,Zürich,1,38
2021-01-12,Zürich,0,42
2021-01-13,Zürich,1,51
2021-01-14,Zürich,3,34
2021-01-15,Zürich,6,45
2021-01-16,Zürich,0,32
2021-01-17,Zürich,4,39
2021-01-18,Zürich,0,49
2021-01-19,Zürich,4,44
2021-01-20,Zürich,5,54
2021-01-21,Zürich,11,52
2021-01-22,Zürich,7,49
2021-01-23,Zürich,5,26
2021-01-24,Zürich,4,32
2021-01-25,Zürich,9,62
2021-01-26,Zürich,5,46
2021-01-27,Zürich,8,42
2021-01-28,Zürich,4,28
2021-01-29,Zürich,3,32
2021-01-30,Zürich,6,23
2021-01-31,Zürich,8,25
2021-02-01,Zürich,9,39
2021-02-02,Zürich,12,42
2021-02-03,Zürich,9,31
2021-02-04,Zürich,8,28
2021-02-05,Zürich,12,31
2021-02-06,Zürich,11,29
2021-02-07,Zürich,22,51
2021-02-08,Zürich,14,31
2021-02-09,Zürich,7,31
2021-02-10,Zürich,16,38
2021-02-11,Zürich,5,9
2021-02-12,Zürich,7,31
2021-02-13,Zürich,13,28
2021-02-14,Zürich,10,24
2021-02-15,Zürich,9,17
2021-02-16,Zürich,11,25
2021-02-17,Zürich,13,24
2021-01-14,Bern,10,190
2021-01-21,Bern,14,154
2021-01-28,Bern,17,167
2021-02-01,Bern,4,21
2021-02-02,Bern,5,11
2021-02-03,Bern,7,20
2021-02-04,Bern,1,12
2021-02-05,Bern,6,17
2021-02-06,Bern,6,10
2021-02-07,Bern,5,11
2021-02-08,Bern,5,22
2021-02-09,Bern,1,8
2021-02-10,Bern,2,8
2021-02-11,Bern,3,17
2021-02-12,Bern,0,7
2021-02-13,Bern,8,14
2021-02-14,Bern,2,8
2021-02-15,Bern,6,9
2021-02-16,Bern,2,8
2021-02-17,Bern,4,12
2020-12-17,Viollier,0,518
2020-12-24,Viollier,3,662
2020-12-31,Viollier,13,1157
2021-01-07,Viollier,53,1291
2021-01-14,Viollier,53,1064
2021-01-21,Viollier,88,1101
2021-01-28,Viollier,130,827
2021-02-04,Viollier,216,779
2021-02-11,Viollier,99,262
2020-12-17,Risch,1,1963
2020-12-24,Risch,6,1531
2020-12-31,Risch,8,1495
2021-01-07,Risch,18,1442
2021-01-14,Risch,43,911
2021-01-21,Risch,87,792
2021-01-28,Risch,169,984
2021-02-04,Risch,159,662
2021-02-11,Risch,144,537
2021-02-18,Risch,150,378
