"WeekEndDate","REGION","LINEAGE2","count","total","collection_date","collection_date_num","prop","DATE_NUM"
2020-09-05,"London","other",394,553,2020-09-01,18506.5,0.7124773960217,18506.5
2020-09-12,"London","other",235,372,2020-09-08,18513.5,0.631720430107527,18513.5
2020-09-19,"London","other",58,89,2020-09-15,18520.5,0.651685393258427,18520.5
2020-09-26,"London","other",308,478,2020-09-22,18527.5,0.644351464435146,18527.5
2020-10-03,"London","other",141,244,2020-09-29,18534.5,0.577868852459016,18534.5
2020-10-10,"London","other",185,330,2020-10-06,18541.5,0.560606060606061,18541.5
2020-10-17,"London","other",337,625,2020-10-13,18548.5,0.5392,18548.5
2020-10-24,"London","other",510,1106,2020-10-20,18555.5,0.461121157323689,18555.5
2020-10-31,"London","other",133,325,2020-10-27,18562.5,0.409230769230769,18562.5
2020-11-07,"London","other",332,847,2020-11-03,18569.5,0.391971664698937,18569.5
2020-11-14,"London","other",462,1438,2020-11-10,18576.5,0.321279554937413,18576.5
2020-11-21,"London","other",288,826,2020-11-17,18583.5,0.348668280871671,18583.5
2020-11-28,"London","other",93,461,2020-11-24,18590.5,0.20173535791757,18590.5
2020-12-05,"London","other",95,420,2020-12-01,18597.5,0.226190476190476,18597.5
2020-12-12,"London","other",182,1354,2020-12-08,18604.5,0.134416543574594,18604.5
2020-12-19,"London","other",162,2387,2020-12-15,18611.5,0.067867616254713,18611.5
2020-12-26,"London","other",38,988,2020-12-22,18618.5,0.0384615384615385,18618.5
2021-01-02,"London","other",38,2001,2020-12-29,18625.5,0.0189905047476262,18625.5
2021-01-09,"London","other",31,1547,2021-01-05,18632.5,0.0200387847446671,18632.5
2021-01-16,"London","other",22,1479,2021-01-12,18639.5,0.0148749154834348,18639.5
2021-01-23,"London","other",25,1639,2021-01-19,18646.5,0.0152532031726663,18646.5
2021-01-30,"London","other",23,1500,2021-01-26,18653.5,0.0153333333333333,18653.5
2021-02-06,"London","other",0,509,2021-02-02,18660.5,0,18660.5
2021-02-13,"London","other",6,672,2021-02-09,18667.5,0.00892857142857143,18667.5
2021-02-20,"London","other",4,902,2021-02-16,18674.5,0.00443458980044346,18674.5
2021-02-27,"London","other",1,584,2021-02-23,18681.5,0.00171232876712329,18681.5
2021-03-06,"London","other",2,646,2021-03-02,18688.5,0.00309597523219814,18688.5
2021-03-13,"London","other",7,585,2021-03-09,18695.5,0.011965811965812,18695.5
2021-03-20,"London","other",4,515,2021-03-16,18702.5,0.00776699029126214,18702.5
2021-03-27,"London","other",6,647,2021-03-23,18709.5,0.00927357032457496,18709.5
2021-04-03,"London","other",7,438,2021-03-30,18716.5,0.0159817351598174,18716.5
2021-04-10,"London","other",18,351,2021-04-06,18723.5,0.0512820512820513,18723.5
2021-04-17,"London","other",19,323,2021-04-13,18730.5,0.0588235294117647,18730.5
2021-04-24,"London","other",18,360,2021-04-20,18737.5,0.05,18737.5
2021-05-01,"London","other",6,298,2021-04-27,18744.5,0.0201342281879195,18744.5
2021-05-08,"London","other",11,390,2021-05-04,18751.5,0.0282051282051282,18751.5
2021-05-15,"London","other",2,473,2021-05-11,18758.5,0.00422832980972516,18758.5
2021-05-22,"London","other",10,653,2021-05-18,18765.5,0.0153139356814701,18765.5
2021-05-29,"London","other",5,984,2021-05-25,18772.5,0.00508130081300813,18772.5
2021-06-05,"London","other",2,1927,2021-06-01,18779.5,0.00103788271925272,18779.5
2020-09-05,"North West","other",43,67,2020-09-01,18506.5,0.641791044776119,18506.5
2020-09-12,"North West","other",328,527,2020-09-08,18513.5,0.622390891840607,18513.5
2020-09-19,"North West","other",273,507,2020-09-15,18520.5,0.538461538461538,18520.5
2020-09-26,"North West","other",312,763,2020-09-22,18527.5,0.408912188728702,18527.5
2020-10-03,"North West","other",137,347,2020-09-29,18534.5,0.394812680115274,18534.5
2020-10-10,"North West","other",309,990,2020-10-06,18541.5,0.312121212121212,18541.5
2020-10-17,"North West","other",393,1473,2020-10-13,18548.5,0.266802443991853,18548.5
2020-10-24,"North West","other",309,1192,2020-10-20,18555.5,0.259228187919463,18555.5
2020-10-31,"North West","other",126,606,2020-10-27,18562.5,0.207920792079208,18562.5
2020-11-07,"North West","other",331,1562,2020-11-03,18569.5,0.21190781049936,18569.5
2020-11-14,"North West","other",186,949,2020-11-10,18576.5,0.195995785036881,18576.5
2020-11-21,"North West","other",138,688,2020-11-17,18583.5,0.200581395348837,18583.5
2020-11-28,"North West","other",108,650,2020-11-24,18590.5,0.166153846153846,18590.5
2020-12-05,"North West","other",25,155,2020-12-01,18597.5,0.161290322580645,18597.5
2020-12-12,"North West","other",77,599,2020-12-08,18604.5,0.128547579298831,18604.5
2020-12-19,"North West","other",34,432,2020-12-15,18611.5,0.0787037037037037,18611.5
2020-12-26,"North West","other",43,481,2020-12-22,18618.5,0.0893970893970894,18618.5
2021-01-02,"North West","other",30,773,2020-12-29,18625.5,0.0388098318240621,18625.5
2021-01-09,"North West","other",51,1559,2021-01-05,18632.5,0.0327132777421424,18632.5
2021-01-16,"North West","other",97,3522,2021-01-12,18639.5,0.0275411697898921,18639.5
2021-01-23,"North West","other",54,3310,2021-01-19,18646.5,0.0163141993957704,18646.5
2021-01-30,"North West","other",67,4832,2021-01-26,18653.5,0.0138658940397351,18653.5
2021-02-06,"North West","other",11,1063,2021-02-02,18660.5,0.0103480714957667,18660.5
2021-02-13,"North West","other",15,1929,2021-02-09,18667.5,0.00777604976671851,18667.5
2021-02-20,"North West","other",9,2496,2021-02-16,18674.5,0.00360576923076923,18674.5
2021-02-27,"North West","other",1,1883,2021-02-23,18681.5,0.000531067445565587,18681.5
2021-03-06,"North West","other",5,1710,2021-03-02,18688.5,0.00292397660818713,18688.5
2021-03-13,"North West","other",6,1406,2021-03-09,18695.5,0.0042674253200569,18695.5
2021-03-20,"North West","other",5,2025,2021-03-16,18702.5,0.00246913580246914,18702.5
2021-03-27,"North West","other",14,2704,2021-03-23,18709.5,0.00517751479289941,18709.5
2021-04-03,"North West","other",10,1783,2021-03-30,18716.5,0.00560852495793606,18716.5
2021-04-10,"North West","other",6,891,2021-04-06,18723.5,0.00673400673400673,18723.5
2021-04-17,"North West","other",9,768,2021-04-13,18730.5,0.01171875,18730.5
2021-04-24,"North West","other",7,871,2021-04-20,18737.5,0.00803673938002296,18737.5
2021-05-01,"North West","other",1,1120,2021-04-27,18744.5,0.000892857142857143,18744.5
2021-05-08,"North West","other",7,1588,2021-05-04,18751.5,0.0044080604534005,18751.5
2021-05-15,"North West","other",6,1944,2021-05-11,18758.5,0.00308641975308642,18758.5
2021-05-22,"North West","other",1,2917,2021-05-18,18765.5,0.000342817963661296,18765.5
2021-05-29,"North West","other",1,4488,2021-05-25,18772.5,0.000222816399286988,18772.5
2021-06-05,"North West","other",4,5222,2021-06-01,18779.5,0.000765990042129452,18779.5
2020-09-05,"South West","other",101,135,2020-09-01,18506.5,0.748148148148148,18506.5
2020-09-12,"South West","other",32,62,2020-09-08,18513.5,0.516129032258065,18513.5
2020-09-19,"South West","other",20,39,2020-09-15,18520.5,0.512820512820513,18520.5
2020-09-26,"South West","other",87,141,2020-09-22,18527.5,0.617021276595745,18527.5
2020-10-03,"South West","other",29,71,2020-09-29,18534.5,0.408450704225352,18534.5
2020-10-10,"South West","other",85,229,2020-10-06,18541.5,0.37117903930131,18541.5
2020-10-17,"South West","other",36,108,2020-10-13,18548.5,0.333333333333333,18548.5
2020-10-24,"South West","other",59,186,2020-10-20,18555.5,0.317204301075269,18555.5
2020-10-31,"South West","other",24,87,2020-10-27,18562.5,0.275862068965517,18562.5
2020-11-07,"South West","other",38,114,2020-11-03,18569.5,0.333333333333333,18569.5
2020-11-14,"South West","other",38,219,2020-11-10,18576.5,0.17351598173516,18576.5
2020-11-21,"South West","other",26,102,2020-11-17,18583.5,0.254901960784314,18583.5
2020-11-28,"South West","other",33,112,2020-11-24,18590.5,0.294642857142857,18590.5
2020-12-05,"South West","other",7,43,2020-12-01,18597.5,0.162790697674419,18597.5
2020-12-12,"South West","other",15,97,2020-12-08,18604.5,0.154639175257732,18604.5
2020-12-19,"South West","other",15,156,2020-12-15,18611.5,0.0961538461538462,18611.5
2020-12-26,"South West","other",6,80,2020-12-22,18618.5,0.075,18618.5
2021-01-02,"South West","other",4,127,2020-12-29,18625.5,0.031496062992126,18625.5
